"reopen","1274","48","7","1","2272"
"","","","","",""
"2020-04-19","covid","school","food","water","reopen"
"covid","95251","563","803","211","1981"
"school","563","1302","11","2","105"
"food","803","11","1420","17","14"
"water","211","2","17","396","7"
"reopen","1981","105","14","7","3624"
"","","","","",""
"2020-04-20","covid","school","food","water","reopen"
"covid","125485","724","1162","334","2825"
"school","724","1922","17","1","150"
"food","1162","17","2000","53","21"
"water","334","1","53","566","5"
"reopen","2825","150","21","5","5246"
"","","","","",""
"2020-04-21","covid","school","food","water","reopen"
"covid","124628","686","1116","238","2373"
"school","686","1955","26","3","85"
"food","1116","26","2098","21","28"
"water","238","3","21","499","7"
"reopen","2373","85","28","7","4437"
"","","","","",""
"2020-04-22","covid","school","food","water","reopen"
"covid","92114","494","835","208","1868"
"school","494","1189","12","2","58"
"food","835","12","1541","19","29"
"water","208","2","19","404","6"
"reopen","1868","58","29","6","3484"
"","","","","",""
"2020-04-23","covid","school","food","water","reopen"
"covid","82184","442","683","229","1605"
"school","442","1039","5","1","60"
"food","683","5","1253","15","24"
"water","229","1","15","442","3"
"reopen","1605","60","24","3","3063"
"","","","","",""
"2020-04-24","covid","school","food","water","reopen"
"covid","202003","1128","1473","566","3637"
"school","1128","2743","25","3","157"
"food","1473","25","2728","38","41"
"water","566","3","38","1116","13"
"reopen","3637","157","41","13","7204"
"","","","","",""
"2020-04-25","covid","school","food","water","reopen"
"covid","417141","2136","2817","823","7957"
"school","2136","5088","44","4","302"
"food","2817","44","5155","42","65"
"water","823","4","42","1710","20"
"reopen","7957","302","65","20","15062"
"","","","","",""
"2020-04-26","covid","school","food","water","reopen"
"covid","429528","2430","3100","912","8654"
"school","2430","5875","32","12","467"
"food","3100","32","6242","49","75"
"water","912","12","49","1914","25"
"reopen","8654","467","75","25","16708"
"","","","","",""
"2020-04-27","covid","school","food","water","reopen"
"covid","498257","3395","4194","1295","12795"
"school","3395","8259","68","12","765"
"food","4194","68","8200","66","161"
"water","1295","12","66","2268","22"
"reopen","12795","765","161","22","23744"
"","","","","",""
