covid 19,165178
100 000,12437
coronavirus pandemic,6909
19 pandemic,6549
nursing homes,6300
19 cases,5920
due covid,5863
new cases,4685
coronavirus cases,4649
19 deaths,4286
death toll,4136
positive covid,4064
new york,3923
post covid,3543
coronavirus deaths,3511
death rate,3493
19 patients,3324
covid deaths,3149
new covid,2905
19 crisis,2797
may 28,2639
nursing home,2629
new coronavirus,2518
via youtube,2510
tested positive,2484
covid patients,2305
coronavirus death,2298
coronavirus lockdown,2238
social distancing,2237
amid covid,2103
due coronavirus,2080
gon na,2068
died covid,2067
cases covid,2061
coronavirus crisis,2048
positive coronavirus,2047
covid cases,2025
year old,1970
dominic cummings,1928
bbc news,1888
news coronavirus,1874
fight covid,1862
coronavirus outbreak,1774
public health,1772
amid coronavirus,1752
test trace,1732
test positive,1719
second wave,1718
000 people,1703
get covid,1685
coronavirus covid19,1674
people died,1672
donald trump,1666
000 americans,1637
social media,1636
000 deaths,1634
impact covid,1628
19 test,1606
covid19 coronavirus,1594
care homes,1571
mental health,1558
spread covid,1547
united states,1544
19 testing,1516
boris johnson,1505
chinese virus,1490
coronavirus live,1488
contact tracing,1482
19 vaccine,1465
highest death,1454
wear mask,1453
28 2020,1438
looks like,1438
died coronavirus,1433
many people,1419
live updates,1416
cashless society,1386
stay home,1356
confirmed cases,1347
coronavirus test,1336
coronavirus patients,1324
rate coronavirus,1317
deaths covid,1315
19 death,1310
south korea,1304
response covid,1291
new zealand,1291
000 dead,1287
fake news,1282
personal loans,1282
see tips,1280
loans debt,1280
tips personal,1279
debt consolidation,1279
19 response,1255
19 outbreak,1251
19 via,1250
uk suffers,1250
19 lockdown,1229
white house,1225
black people,1213
000 covid,1193
york times,1184
supreme court,1183
last week,1177
may 2020,1175
executive order,1164
health care,1157
coronavirus covid,1148
long term,1138
24 hours,1136
coronavirus response,1131
cases deaths,1127
19 update,1122
coronavirus emergency,1122
850 deaths,1116
suffers highest,1115
japan ends,1113
patients nursing,1112
covid death,1100
make sure,1090
coronavirus update,1090
coronavirus vaccine,1087
first time,1084
40 million,1070
ends coronavirus,1068
emergency 850,1063
deaths lockdown,1054
fact check,1042
via breitbartnews,1042
join us,1039
new deaths,1030
like covid,1029
19 impact,1027
good news,1014
000 coronavirus,1014
