covid 19,31061
coronavirus pandemic,1989
death toll,1361
new york,1355
19 pandemic,1163
coronavirus cases,1126
via youtube,984
coronavirus crisis,969
stay home,965
coronavirus deaths,937
due covid,903
19 cases,860
coronavirus covid19,854
chinese virus,795
coronavirus lockdown,781
coronavirus outbreak,772
fight covid,765
apple google,736
new cases,728
amid coronavirus,705
social distancing,702
19 patients,627
bbc news,625
new coronavirus,588
news coronavirus,569
coronavirus patients,528
coronavirus death,516
due coronavirus,506
19 crisis,506
positive covid,495
year old,493
tested positive,493
coronavirus covid,468
fight coronavirus,462
19 lockdown,460
amid covid,452
united states,449
19 deaths,433
contact tracing,431
positive coronavirus,430
corona virus,422
covid19 coronavirus,419
gon na,391
around world,390
south korea,387
white house,372
bill maher,369
coronavirus vaccine,367
spread coronavirus,364
april 11,361
coronavirus response,358
live updates,355
confirmed cases,352
cases covid,341
stay safe,337
19 death,336
fox news,334
boris johnson,334
fake news,330
coronavirus live,327
many people,321
people died,312
test positive,309
task force,300
tests positive,299
100 000,299
19 via,299
spread covid,297
19 outbreak,294
health care,292
24 hours,290
coronavirus via,286
coronavirus us,283
york times,281
looks like,278
testing positive,277
donald trump,273
nhs workers,273
nhs staff,271
public health,265
coronavirus uk,265
died coronavirus,263
nursing homes,261
new deaths,261
bill gates,261
good news,260
york city,260
cases coronavirus,258
novel coronavirus,255
coronavirus update,254
response covid,254
died covid,251
single day,250
new covid,249
000 deaths,244
covid patients,243
11 2020,240
coronavirus testing,239
10 000,235
post covid,234
death rate,229
priti patel,228
president trump,227
recovered coronavirus,224
us coronavirus,223
19 contact,222
april 2020,221
slow spread,218
health workers,217
get covid,216
response coronavirus,216
trump coronavirus,215
coronavirus spread,213
19 testing,213
first time,210
prime minister,210
mental health,208
coronavirus covidー19,207
front line,207
coronavirus could,206
sign petition,206
pm modi,206
positive cases,204
500 000,204
000 coronavirus,202
people dying,201
dr fauci,197
air pollution,196
coronavirus exposed,196
every day,194
19 response,194
total cases,194
coronavirus fight,194
coronavirus new,193
loved ones,193
trump administration,192
care homes,191
19 coronavirus,189
realdonaldtrump nytimes,189
nursing home,188
new post,188
19 nhs,188
social media,186
british exceptionalism,186
one day,186
19 virus,184
total number,183
could ready,183
coronavirus stimulus,182
vaccine could,182
19 update,180
get coronavirus,180
myth british,180
20 000,179
combat covid,178
face masks,177
exposed myth,176
000 people,176
coronavirus task,175
healthcare workers,175
go back,174
well done,172
19 patient,170
need help,169
covid deaths,169
patients testing,168
lives risk,168
coronavirus relief,168
wan na,168
matt hancock,168
help slow,167
face mask,165
next week,165
make sure,164
spread covid19,164
save lives,163
people die,162
covid response,162
school year,160
herd immunity,160
deaths covid,160
coronavirus victims,159
small businesses,158
deaths coronavirus,157
world covid,157
fighting covid,156
gt gt,155
care workers,154
would like,154
19 vaccine,152
china coronavirus,152
help us,151
weeks ago,151
first country,149
happy easter,149
two weeks,149
need know,147
new world,146
coronavirus updates,145
deaths reported,145
19 relief,145
hong kong,145
easter weekend,145
black people,144
covid cases,144
staying home,143
2020 04,143
says coronavirus,143
know covid,143
19 test,143
coronavirus infection,142
doctors nurses,142
19 positive,142
please help,141
coronavirus trump,141
identify risk,141
google apple,141
pandemic via,140
health officials,140
uk government,140
whitehouse realdonaldtrump,140
ppe shortages,140
risk cases,140
self reporting,140
daily thanks,139
