covid 19,182991
coronavirus pandemic,10890
new york,8074
19 pandemic,7795
coronavirus crisis,6546
coronavirus cases,6531
via youtube,5838
due covid,5277
amid coronavirus,5028
19 cases,4999
coronavirus outbreak,4930
stay home,4827
social distancing,4369
coronavirus lockdown,4352
fight covid,4275
coronavirus covid19,4023
death toll,3987
due coronavirus,3701
bbc news,3699
19 crisis,3668
new cases,3441
news coronavirus,3293
boris johnson,3152
coronavirus deaths,3082
white house,3022
coronavirus testing,2987
gon na,2711
chinese virus,2679
positive covid,2661
19 patients,2632
task force,2630
public health,2549
coronavirus covid,2489
fight coronavirus,2486
covid19 coronavirus,2466
amid covid,2433
fox news,2432
tested positive,2429
new coronavirus,2409
year old,2333
19 lockdown,2319
fake news,2314
coronavirus response,2266
19 outbreak,2242
coronavirus via,2233
bill gates,2228
donald trump,2220
corona virus,2198
prime minister,2192
intensive care,2154
spread covid,2151
good news,2147
coronavirus patients,2072
19 deaths,2059
spread coronavirus,2050
april 2020,2026
coronavirus death,1980
coronavirus live,1966
live updates,1965
19 via,1939
trump coronavirus,1905
stay safe,1900
health care,1891
president trump,1872
19 death,1870
response covid,1854
many people,1849
positive coronavirus,1771
confirmed cases,1739
coronavirus task,1739
mental health,1698
united states,1692
testing sites,1656
coronavirus could,1655
cases coronavirus,1635
healthcare workers,1630
cases covid,1612
novel coronavirus,1584
coronavirus update,1568
test positive,1559
looks like,1558
10 000,1533
dr fauci,1475
new zealand,1450
died coronavirus,1442
new covid,1440
post covid,1423
would like,1410
died covid,1408
sign petition,1400
health officials,1397
realdonaldtrump nytimes,1392
around world,1383
impact covid,1379
small businesses,1366
coronavirus relief,1362
says coronavirus,1356
19 relief,1352
face masks,1322
federal government,1320
people died,1309
bill reilly,1302
go back,1291
dies covid,1290
coronavirus realdonaldtrump,1289
19 testing,1286
back work,1278
small business,1274
19 update,1262
november election,1257
get covid,1254
election coronavirus,1252
protect november,1237
york times,1229
19 vaccine,1227
19 virus,1225
york coronavirus,1216
well done,1200
people dying,1199
19 response,1193
last week,1192
stand demandprogress,1176
demandprogress protect,1175
realdonaldtrump passing,1168
times covid,1167
every day,1162
nhs staff,1159
came europe,1154
new deaths,1147
get coronavirus,1129
19 coronavirus,1128
24 hours,1095
social media,1095
trump administration,1086
federal support,1077
us coronavirus,1075
like covid,1072
coronavirus vaccine,1065
positive cases,1058
abc news,1045
last legs,1018
top story,1016
wan na,1003
first covid,1002
make sure,1001
york city,996
world health,990
coronavirus stimulus,989
need know,985
south korea,976
dies coronavirus,975
coronavirus may,972
first time,971
fighting covid,960
cases came,951
help us,948
coronavirus spread,946
appearing cnn,944
tests positive,932
response coronavirus,926
covid patients,925
working home,925
100 days,923
19 impact,916
protective equipment,908
000 people,903
front line,901
coronavirus symptoms,899
belgian dutch,899
dutch study,898
19 test,897
death rate,894
time covid,883
walk run,883
via breitbartnews,881
study times,877
safe coronavirus,876
press briefing,875
care workers,874
trump says,874
coronavirus victims,872
run bike,871
coronavirus updates,870
coronavirus briefings,869
slow spread,859
19 walk,858
south africa,855
dying coronavirus,855
people die,851
bike close,850
long term,845
total cases,843
covidー19 coronavirus,841
covid cases,841
hong kong,839
black people,838
save lives,835
join us,834
deaths covid,831
petition via,827
doctors nurses,827
new post,823
face mask,818
at home,816
staying home,815
herd immunity,813
genomes show,813
watch live,808
got ta,805
climate change,804
keep safe,802
uk coronavirus,799
europe genomes,796
ends coronavirus,795
support ends,793
nursing home,788
last night,785
post coronavirus,784
despite coronavirus,784
health workers,780
essential workers,778
gt gt,778
weeks ago,778
realdonaldtrump oann,778
15 000,777
million people,772
joe biden,770
die covid,768
god bless,766
fauci says,762
covid deaths,761
one day,759
wet markets,759
please help,755
lost jobs,753
look like,751
first responders,748
infected coronavirus,748
coronavirus new,748
care home,747
19 new,746
front lines,746
us covid,745
coronavirus uk,743
work home,738
house coronavirus,737
two weeks,734
stop spread,733
let us,731
feel like,720
via nypost,716
100 000,715
coronavirus related,709
chinese doctors,707
coronavirus battle,706
cause death,706
cases deaths,706
help fight,705
next week,703
coronavirus tests,701
billion people,700
coronavirus test,697
pandemic peak,697
19 related,694
pandemic via,691
sites pandemic,689
key workers,686
relief fund,685
breaking news,684
total number,681
half billion,681
time coronavirus,680
tell us,679
take care,679
peak nears,679
coronavirus treatment,678
coronavirus restrictions,676
worldwide coronavirus,674
royal family,674
via ukchange,670
personal protective,665
via mailonline,664
coronavirus covidー19,664
frontline nhs,662
19 case,661
medical supplies,661
global coronavirus,658
stay at,655
get back,651
19 patient,649
health organization,648
19 amp,648
coronavirus news,647
handling coronavirus,647
like coronavirus,646
place already,645
legs anyway,645
officials appearing,643
global pandemic,642
people covid,639
19 treatment,636
home coronavirus,634
daily coronavirus,634
coronavirus fight,633
wuhan coronavirus,633
coronavirus aid,633
great news,633
die coronavirus,632
nyt reporter,629
loved ones,628
one thing,627
coronavirus infection,627
former nyt,627
go away,625
dying covid,623
coronavirus briefing,622
uk govt,621
conspiracy theories,621
african americans,619
coronavirus narrative,619
coronavirus disease,612
19 tests,612
unemployment claims,611
tested covid,610
pence office,609
confirmed covid,606
meet former,606
sounds like,605
across country,604
coronavirus quarantine,604
conspiracy theory,603
coronavirus world,601
coronavirus impact,600
affected covid,599
challenging coronavirus,598
jobless claims,597
great job,596
thank god,596
supply chain,596
daily thanks,595
china coronavirus,595
premier league,592
covid crisis,591
19 positive,590
19 fight,589
million americans,588
study finds,587
days since,587
provide ppe,584
toll rises,581
19 please,581
coronavirus sign,580
people like,580
crisis via,579
nursing homes,577
good job,577
seems like,576
need help,575
good morning,573
ppe frontline,573
new normal,573
wall street,573
coronavirus us,571
fighting coronavirus,570
jurgen thoelen,570
minister boris,570
new jersey,569
american people,569
mike pence,569
want know,568
cure covid,566
good friday,566
via googlenews,565
help coronavirus,563
chinese government,562
saudi arabia,562
please stay,560
people get,560
last year,560
people need,560
world news,559
govt provide,558
close jurgen,558
emily maitlis,557
town hall,555
impact coronavirus,554
testing positive,554
number people,551
number covid,550
coronavirus patient,550
home stay,550
reporter challenging,550
please read,549
air pollution,548
spread covid19,547
young people,544
19 emergency,543
know covid,543
press conference,543
anyone else,542
saudi royal,542
nhs keep,541
19 situation,541
three weeks,538
coronavirus supplies,538
patients covid,538
easter weekend,536
even though,535
coronavirus bailout,534
treat covid,534
wash hands,533
asking help,533
ppe dies,533
help covid,532
000 deaths,531
billion coronavirus,531
covid19 pandemic,530
cases reported,530
whole world,530
whitehouse realdonaldtrump,530
coronavirus fears,528
passed away,527
ag barr,527
fauci birx,525
new study,523
anyone willing,522
years ago,521
help anyone,521
david icke,521
care homes,520
since covid,520
coronavirus china,518
please take,517
pm modi,517
coronavirus boris,517
million coronavirus,516
coronavirus amp,516
cruise ship,515
willing donate,515
sars cov,514
hart island,514
people still,511
think covid,509
16 million,509
get tested,508
prevent spread,507
covid death,505
coronavirus spreads,505
combat covid,505
coronavirus hit,504
recovered covid,504
please share,504
great leveller,503
coronavirus latest,503
looking forward,503
greater manchester,503
coronavirus press,500
mr president,499
experts say,499
hey asking,497
us intelligence,497
immune system,497
battle covid,496
recovered coronavirus,496
donate sister,495
people poverty,494
test kits,494
000 coronavirus,494
family members,493
nephew amp,490
wear mask,490
people know,490
coronavirus infections,489
washington post,488
latest updates,487
risk covid,486
early november,486
case covid,485
grocery store,485
total deaths,484
amp lost,483
know coronavirus,482
19 spread,480
infected covid,478
funding coronavirus,478
via nyt,478
19 may,478
second wave,475
treatment covid,475
blog post,474
latest covid,474
must read,474
coronavirus last,474
death covid,472
get good,472
anthony fauci,471
uk government,470
via politico,469
related covid,468
60 000,468
confirmed case,467
latest coronavirus,467
battle coronavirus,466
april 30,465
days ago,464
help people,464
number coronavirus,463
deaths total,463
news via,462
trump approval,462
covid19 cases,462
take look,461
narendra modi,461
federal funding,461
new yorkers,461
update covid,460
clinical trial,460
19 stimulus,459
coronavirus conspiracy,457
makes sense,457
end covid,457
back normal,457
mn senator,456
toilet paper,456
lockdown coronavirus,455
coronavirus one,454
johnson intensive,454
covid related,453
deaths coronavirus,453
250 billion,451
via yahoonews,451
doctor warned,449
equipment covid,449
could help,448
first coronavirus,448
office blocks,448
cases rise,447
people coronavirus,447
news would,447
new blog,447
treating covid,446
relief efforts,446
health experts,446
warned coronavirus,445
amp coronavirus,445
new death,443
coronavirus shutdown,443
hospital administrators,443
bringing total,442
data shows,441
19 could,440
new confirmed,439
bin bags,439
5g coronavirus,439
stop covid,438
blocks public,438
news covid,437
every single,436
home covid,436
got covid,436
state emergency,435
since china,435
supreme court,433
cure coronavirus,432
coronavirus lockdowns,432
help slow,432
administrators us,432
democrats block,431
us physicians,430
physicians healthcare,430
workers personal,430
end coronavirus,429
well said,428
contact tracing,428
human rights,428
school closed,428
lost job,427
19 symptoms,426
study says,426
coronavirus got,425
catch coronavirus,421
got coronavirus,421
gt coronavirus,421
home order,419
hit hardest,419
uk lockdown,419
19 world,418
two months,418
19 news,418
using coronavirus,417
marks 100,416
huge mn,415
thursday april,415
manchester police,415
wuhan virus,414
school year,413
first case,413
number deaths,412
unemployment benefits,412
people going,412
economic crisis,412
come back,411
coronavirus trump,411
lot people,410
husband grandma,410
impacted covid,409
daily life,409
single day,408
malaria drug,408
san francisco,408
senate democrats,408
virus covid,407
stop coronavirus,407
confirmed coronavirus,407
every time,407
diseases like,406
last month,405
last 24,405
spreading coronavirus,403
vaccine found,403
150 members,402
november coronavirus,401
world covid,401
pope francis,401
coronavirus get,400
could get,400
china alerted,400
covidー19 covid19,398
even covid,398
death rates,397
self isolation,396
ufc 249,396
non covid,395
please sign,395
chinese communist,395
per day,394
coronavirus stay,394
good thing,394
long time,394
fort detrick,394
real estate,393
sister nephew,392
jobs due,392
remains hospital,392
coronavirus greater,392
pre covid,391
cases confirmed,391
fact check,391
symptoms around,391
say coronavirus,390
coronavirus marks,390
remain closed,389
health department,389
trump wants,389
health minister,389
get rid,389
dr birx,388
op ed,388
alerted first,388
number cases,386
lockdown could,386
staff forbidden,386
retweet gt,386
rest peace,385
people think,385
health expert,384
around fort,384
despite covid,383
cases new,383
socialdistancing coronalockdown,383
support covid,383
active cases,383
accidentally invited,383
great work,382
self reporting,382
safe covid,381
aircraft carrier,381
forbidden speaking,381
thousands people,380
since coronavirus,380
home office,379
19 us,379
covid free,379
coronavirus doctor,379
let get,378
ve got,377
stimulus package,377
high risk,376
speaking publicly,376
19 increasing,375
great depression,375
detrick military,375
high school,374
trump admin,374
give us,374
officials say,373
please contact,373
military base,373
till april,372
workers coronavirus,372
read article,372
never forget,372
coronavirus india,372
fuck covid,372
delayed coronavirus,372
deep state,372
coronavirus coronavirus,371
19 updates,371
16 000,371
cases total,370
work coronavirus,370
social distance,369
test covid,368
spreading covid,367
frontline workers,367
death count,367
hospital covid,366
schools closed,366
april 10,366
amp covid,366
medical staff,366
mail in,366
coronavirus numbers,366
knew coronavirus,365
vice president,365
grandma accidentally,365
today covid,364
intelligence report,364
pandemic covid,364
department health,363
help track,362
across globe,361
working hard,361
ve seen,361
black americans,360
think coronavirus,360
thanksgiving dies,360
covid pandemic,359
amidst covid,359
get paid,359
one person,358
jared kushner,358
let clear,358
police warning,358
publicly coronavirus,357
health crisis,356
business insider,355
please stop,355
trump covid,355
shake hands,355
care covid,354
660 parties,354
cases top,353
cares act,353
day day,353
warning 660,353
regarding covid,352
fight covid19,352
president donald,351
health ministry,351
still open,351
coronavirus case,351
covidー19 pandemic,351
closed rest,351
free covid,350
latest news,350
mass testing,349
economic impact,349
shaking hands,349
going get,348
affected coronavirus,348
19 infection,347
testing covid,347
dr shiva,347
cancelled due,346
cbc news,346
thank much,346
nears coronavirus,346
covid covid19,345
coronavirus hits,345
theodore roosevelt,345
bad news,344
warned prime,344
please watch,343
bill barr,343
000 covid,342
coronavirus like,342
risk cases,342
getting covid,342
19 stay,341
jack dorsey,341
update april,341
identify risk,341
pretty sure,341
warmer weather,341
hospitals get,341
death numbers,341
04 09,340
howwefeel help,340
track fight,340
passport office,340
good idea,340
covid19 identify,340
communist party,340
killing people,340
life trying,340
using howwefeel,339
new user,339
doctors died,339
nhs workers,339
cdc says,339
cases sooner,339
lockdown measures,338
combat coronavirus,338
domestic violence,338
19 like,338
user hwf,337
working covid,337
sooner self,337
stimulus checks,337
hedge funds,337
world war,336
covid cdtv,336
cdtv covid_19,336
covid_19 prior,336
prior jorge,336
jorge babu,336
babu manu,336
manu foraprior,336
foraprior david,336
trump said,336
covid test,336
related deaths,336
coronavirus great,336
parties shut,336
increasing disruption,336
disruption daily,336
trying collective,336
collective mental,336
expert gave,336
gave tips,336
coronalockdown coronavirus,335
coronavirus spreading,335
ca get,335
pandemic team,335
media reports,334
face shields,334
york state,334
coronavirus curve,333
hwf donating,331
re going,331
via nbcnews,331
spread virus,331
age coronavirus,331
care remains,331
coronavirus positive,330
donating meal,330
tablighi jamaat,330
cured patients,330
corona covid,330
handling covid,330
reporting symptoms,330
know many,330
people tested,329
symptoms daily,329
great see,329
teenager thanksgiving,329
drive thru,328
report warned,328
meal through,328
dealing covid,327
coronavirus coverage,326
hit hard,326
wuhan china,326
even coronavirus,326
tackling covid,325
staff told,325
light covid,325
job losses,324
common sense,324
members saudi,324
filed unemployment,324
must watch,323
sky news,323
coronavirus failures,323
invited teenager,323
lockdown till,322
due to,322
daily even,322
let see,322
base maryland,322
street journal,321
tested coronavirus,320
cases country,320
cabinet minister,320
take covid,319
testing kits,319
covid testing,317
across world,317
ccp virus,317
pay attention,316
months ago,316
number confirmed,316
health system,316
22 000,316
coronavirus situation,315
000 americans,315
china virus,315
2020 covid,314
beat covid,314
take action,313
mortality rate,313
trump cut,313
watch video,312
single cough,312
hand sanitizer,312
medical professionals,312
bank holiday,312
priti patel,312
dead coronavirus,312
ppe shortage,312
14 new,312
oh god,311
yet another,311
years old,311
current covid,311
family friends,310
masks coronavirus,310
social gatherings,310
nurses forced,310
14 days,310
heart attack,310
attorney general,309
official says,309
crisis early,309
live coronavirus,309
people would,309
coronavirus hoax,309
worst economic,309
federal reserve,309
wearing masks,308
three months,307
feels like,307
17 million,307
covid lockdown,306
flatten curve,306
realdonaldtrump potus,306
maryland mid,306
19 data,305
said coronavirus,305
coronavirus small,305
health insurance,305
19 quarantine,304
daily mail,304
19 china,304
worst coronavirus,304
extra 10,304
help stop,304
coronavirus research,304
wearing mask,304
19 restrictions,303
daily covid,303
british prime,303
home deaths,303
via usatoday,303
ppe china,303
minister ppe,303
timefortrumptogo voteforjoe,303
india news,302
going back,302
black america,302
hit coronavirus,301
dr anthony,301
many us,301
deaths reported,300
stock market,300
coronavirus infected,300
nature response,300
19 would,300
old man,300
really good,299
19 need,299
19 information,299
voteforjoe trump,299
next year,298
get sick,298
black community,298
cbs news,298
cut pandemic,298
check latest,297
50 000,297
everyone else,297
approval rating,297
need get,297
coronavirus people,297
updates coronavirus,297
update coronavirus,297
lockdown due,297
people recovered,297
hardest coronavirus,296
defense official,296
today coronavirus,296
19 one,296
food banks,296
19 sign,296
per cent,295
effects covid,295
johnson icu,295
say covid,295
death coronavirus,295
reactivate cured,295
bernie sanders,294
click link,294
pandemic could,294
catch covid,294
antibody tests,294
people stay,294
please please,294
wartime president,293
crisis covid,293
chinese doctor,293
protect coronavirus,292
rest world,292
world bank,292
make sense,292
one way,291
survive covid,291
may reactivate,291
three times,291
work covid,290
right thing,289
office staff,289
san diego,289
virus chinese,289
physical distancing,289
sent ppe,289
team sent,288
coronavirus economy,287
free electricity,287
war coronavirus,287
johns hopkins,287
stay away,287
johnson leaves,287
download epoch,286
says covid,286
realdonaldtrump trump,286
non essential,286
andrew cuomo,286
workers covid,286
2020 04,285
really need,285
beat coronavirus,285
home orders,285
aarogya setu,285
way go,285
get well,284
19 global,284
self employed,284
people around,284
closed due,284
using covid,284
italy spain,284
month ago,284
crisis could,283
could push,283
covid19 crisis,283
security council,283
19 india,283
attack coronavirus,283
lying coronavirus,283
mass graves,283
09 2020,282
best way,282
coronavirus november,282
business owners,281
world coronavirus,281
coronavirus threat,281
dominic raab,281
south korean,281
invisible enemy,281
much better,280
two days,280
support coronavirus,280
pay cut,280
force hold,280
day covid,279
senator dr,279
let hope,279
americans died,279
19 covid,279
return work,279
grocery stores,279
stimulus bill,279
field hospital,279
government delayed,279
covid 20,278
great article,278
new research,278
outbreak originated,278
coronavirus shit,278
important message,278
caused covid,277
due covid19,277
much needed,277
19 numbers,277
uk care,277
flattening curve,276
coronavirus isolation,276
take coronavirus,276
19 epidemic,276
coronavirus data,276
use coronavirus,276
good spirits,276
trump amp,275
real time,275
body bags,275
per million,275
ca wait,275
maitlis praised,274
cluster effect,274
coronavirus panic,274
live president,274
19 really,273
forced wear,273
free coronavirus,273
tough questions,273
survive coronavirus,272
government covid,272
19 health,272
difficult time,272
america amp,272
family member,272
china economy,272
icu amid,272
giuseppe conte,271
come together,271
korean cdc,271
put together,270
people infected,270
battling coronavirus,270
virus spread,270
covidー19 covid,270
effect social,270
stimulus check,270
rural america,270
coronavirus health,270
long weekend,269
coronavirus epidemic,269
charlotte figi,269
please see,269
protective gear,269
covid shit,269
quoted article,269
scientists say,269
around covid,268
via nytimes,268
coronavirus slow,268
depression imf,268
hi professional,268
stimulus rebate,268
found study,267
000 cases,267
diagnosed covid,267
spanish flu,267
let go,267
deadly coronavirus,266
wear bin,266
chinese people,266
lead generation,266
total confirmed,265
tested negative,265
updates covid,265
covid virus,265
state government,265
coronavirus report,265
covid positive,265
measures taken,265
every death,265
one covid,264
video shows,264
hospital workers,264
coronavirus emergency,264
patients korean,264
wear masks,264
09 04,264
exposed coronavirus,264
coronavirus rescue,264
professional freelancer,264
freelancer virtualedge,264
virtualedge please,264
contact looking,264
looking lead,264
generation works,264
coronavirus eu,263
covid relief,263
want see,263
rocket fuel,263
blame coronavirus,263
hundreds thousands,263
news report,263
economic fallout,263
gavin newsom,263
trying get,263
