covid 19 pandemic,5896
tests positive coronavirus,5029
positive covid 19,4677
johnson tests positive,4559
covid 19 cases,4536
boris johnson tests,4342
due covid 19,3999
prime minister boris,3385
minister boris johnson,3340
tested positive coronavirus,3333
fight covid 19,2986
covid 19 crisis,2702
covid 19 outbreak,2471
coronavirus covid 19,2371
uk prime minister,2164
amid covid 19,1964
tested positive covid,1900
bbc news coronavirus,1866
cases covid 19,1836
spread covid 19,1802
tests positive covid,1647
get well soon,1596
covid 19 patients,1445
johnson tested positive,1436
boris johnson tested,1426
us saudi coalition,1408
new york times,1370
response covid 19,1274
covid 19 via,1272
covid 19 virus,1266
amid coronavirus pandemic,1210
pm boris johnson,1154
covid 19 coronavirus,1137
covid 19 test,1136
covid 19 update,1132
coronavirus relief bill,1116
coronavirus stimulus bill,1100
covid 19 lockdown,1049
british prime minister,1026
boris johnson coronavirus,1021
covid 19 response,1015
confirmed coronavirus cases,988
died covid 19,962
fighting covid 19,949
coronavirus task force,940
confirmed covid 19,928
covid 19 relief,923
test positive coronavirus,910
covid 19 deaths,831
light covid 19,823
new covid 19,820
covid 19 testing,802
covid 19 death,798
new york city,775
amid coronavirus outbreak,774
get covid 19,768
sign petition via,765
new cases coronavirus,758
coronavirus live updates,749
house passes trillion,748
covid 19 symptoms,723
march 27 2020,699
covid 19 currently,696
covid 19 emergency,684
stay at home,675
confirmed cases coronavirus,671
call chinese virus,668
impact covid 19,665
purview covid 19,657
currently operating reduced,657
hi purview covid,656
19 currently operating,656
operating reduced strength,655
coronavirus death toll,648
amid coronavirus crisis,640
covid 19 operating,632
19 operating limited,630
may take longer,627
new coronavirus cases,625
hi light covid,625
operating limited team,624
limited team may,624
team may take,624
take longer usual,624
coronavirus stimulus package,619
health care workers,614
us coronavirus cases,606
trump signs trillion,593
trillion coronavirus stimulus,592
realdonaldtrump chinese virus,588
combat covid 19,585
calling chinese virus,585
100 000 cases,579
stay home stay,576
covid 19 sign,572
reduced strength done,569
president donald trump,564
help slow spread,556
covid 19 situation,555
covid 19 related,553
covid 19 spread,551
case covid 19,543
time covid 19,537
cure covid 19,533
affected covid 19,531
trillion coronavirus relief,530
coronavirus relief package,528
new deaths total,526
covid 19 positive,524
virus covid 19,513
number coronavirus cases,512
becomes first country,511
us covid 19,510
coronalockdown coronavirus covid19,496
test positive covid,494
slow spread covid19,493
confirmed cases covid,485
petition via ukchange,478
health secretary matt,478
covid 19 case,477
number covid 19,477
people covid 19,475
first covid 19,470
secretary matt hancock,470
spread covid19 identify,466
covid19 identify risk,464
identify risk cases,464
help fight coronavirus,462
risk cases sooner,461
covid 19 amp,459
cases sooner self,459
sooner self reporting,454
home stay safe,452
defense production act,451
us overtakes china,451
dies covid 19,449
please stay home,447
self reporting symptoms,445
white house coronavirus,442
covid 19 denied,442
reporting symptoms daily,440
symptoms daily even,440
covid 19 impact,438
covid 19 tests,437
chief medical officer,437
covid 19 please,435
signs trillion coronavirus,435
coronavirus test kits,433
world health organization,430
teen died covid,430
last 24 hours,429
19 denied treatment,428
covid 19 chinese,428
testing positive coronavirus,425
tested covid 19,421
positive coronavirus via,421
update covid 19,419
us becomes first,419
coronavirus update country_region,418
virus chinese virus,414
coronavirus cases world,402
coronavirus prime minister,402
regarding covid 19,399
covid 19 solidarity,396
trillion covid 19,395
denied treatment health,395
coronavirus via youtube,394
recovered coronavirus patients,394
dr fauci answers,393
covid 19 may,392
donation covid 19,390
infected covid 19,388
19 solidarity response,383
treatment health insurance,383
die covid 19,382
safe grocery shopping,382
solidarity response fund,381
000 cases coronavirus,380
surpass 100 000,379
trillion coronavirus bill,374
know covid 19,373
like covid 19,372
health sector yemen,372
rt please donation,371
please donation covid,371
response fund supports,370
british pm boris,368
fund supports world,366
covid 19 patient,365
supports world health,365
covid 19 world,362
job retention scheme,362
coronavirus outbreak yemen,358
gt gt gt,358
shopping covid 19,357
road coronavirus hell,355
grocery shopping covid,354
first country surpass,353
psa safe grocery,352
country surpass 100,350
covid 19 stay,349
covid 19 could,346
health system yemen,343
covid 19 us,342
personal protective equipment,338
19 sign petition,338
help covid 19,337
michigan democrat governor,337
democrat governor threatens,337
passes trillion covid,337
coronavirus us becomes,337
away covid 19,336
related covid 19,335
coronavirus pandemic via,335
uk pm boris,334
fauci answers trevor,333
amid coronavirus lockdown,332
coronavirus boris johnson,332
coronavirus hell paved,329
us saudi airstrikes,328
deaths covid 19,327
17 year old,326
covid 19 vaccine,326
19 emergency bill,325
doctors pharmacists prescribe,324
disease covid 19,324
uk coronavirus live,324
covid 19 infection,323
at home order,323
answers trevor questions,322
testing positive covid,320
distinguish covid 19,316
19 pandemic updated,315
governor threatens doctors,314
hancock tests positive,314
symptoms covid 19,313
trevor questions coronavirus,311
hell paved evangelicals,311
socialdistancing coronalockdown coronavirus,311
covid 19 china,310
new cases covid,310
101 year old,309
queen elizabeth tests,309
us saudi aggression,308
stay home order,308
passes trillion coronavirus,308
royal palace confirms,308
elizabeth tests positive,308
coronavirus cases top,308
19 symptoms allergies,308
top 100 000,308
allergies common cold,307
palace confirms queen,305
symptoms allergies common,305
home covid 19,304
2020 covid 19,304
confirms queen elizabeth,304
covid 19 updates,301
questions coronavirus daily,298
covid 19 need,298
fox business network,298
treat covid 19,297
battle covid 19,296
coronavirus aid relief,291
saudi coalition destroyed,291
coalition destroyed health,291
deliver copy officials,291
due coronavirus pandemic,290
coronavirus job retention,290
latest covid 19,289
covid 19 like,289
30 000 ventilators,289
matt hancock tests,288
prime minister borisjohnson,288
got covid 19,287
jeremy corbyn says,287
stop covid 19,286
covid 19 really,285
death toll rises,284
year old man,284
world confirmed cases,284
deaths total recovered,281
overtakes china cases,280
